user_id,recipe_id,date,rating,u,i
482376,141601,2010-10-12,5.0,247,149008
14000,360,2002-01-17,5.0,970,320
421546,61383,2010-08-10,5.0,9301,16362
318028,191816,2007-06-03,2.0,7171,102243
337120,100005,2008-06-04,5.0,8142,148855
30740,18511,2002-02-14,5.0,13315,97337
133174,135338,2005-09-02,5.0,164,131949
246844,3786,2007-03-16,5.0,3627,95287
143318,467545,2012-08-16,5.0,1737,123576
1058097,392325,2010-04-01,5.0,967,165086
324390,334252,2010-06-22,5.0,483,30706
274467,32844,2010-03-14,5.0,440,171328
296809,195430,2009-04-08,5.0,456,30592
15851,45665,2003-08-17,4.0,1932,8101
724516,391084,2010-03-28,5.0,71,149906
105125,107570,2005-07-26,4.0,10363,164837
21752,19368,2007-05-12,5.0,342,117408
11297,306252,2008-06-25,5.0,358,173202
311003,33429,2007-06-25,5.0,1925,94047
199953,106850,2006-06-26,4.0,1095,65583
215664,42292,2011-11-07,4.0,10397,85719
163186,26530,2005-12-21,4.0,8696,120390
185105,108570,2006-07-17,5.0,1068,105155
8606,39560,2007-04-24,5.0,3487,86860
4470,128901,2007-10-29,5.0,100,142559
186070,100693,2006-07-16,5.0,2423,25630
65197,399212,2013-05-27,5.0,673,106669
356127,18872,2006-11-16,5.0,1772,36895
8688,66050,2003-07-11,5.0,235,159654
209743,16371,2006-11-07,4.0,4507,100654
144373,483256,2012-07-27,5.0,2500,52217
323328,222273,2010-08-13,5.0,2804,166444
18745,14911,2008-07-27,5.0,4721,7926
1252163,282052,2012-09-12,5.0,20617,172985
50969,291170,2008-07-23,4.0,830,138243
1072593,315286,2009-06-03,5.0,736,101674
383504,54351,2006-12-23,5.0,16088,17360
60385,29766,2003-03-30,5.0,7074,30216
295704,132266,2009-01-09,2.0,1849,83115
527607,206277,2007-07-18,5.0,176,168943
298757,37782,2007-06-05,4.0,13644,65846
354689,116412,2006-12-31,5.0,7629,16284
251917,248248,2008-06-11,5.0,1217,2506
114317,11370,2014-11-30,3.0,9315,62236
606850,342042,2012-09-29,4.0,5528,140776
101823,70046,2006-04-07,5.0,25,117001
398275,510874,2015-06-25,5.0,327,21470
383346,31859,2010-06-26,5.0,193,133437
204024,511690,2014-04-07,5.0,349,130762
37449,236346,2011-05-03,5.0,275,76101
53932,95309,2007-11-11,4.0,77,128279
461834,503265,2013-08-18,5.0,143,37188
80353,353998,2009-02-20,4.0,377,175685
437727,125662,2007-11-23,5.0,640,11314
424680,453097,2011-09-05,5.0,94,169254
1025741,144131,2009-12-12,5.0,1972,114246
1051748,195106,2010-03-23,5.0,13669,61006
957625,102073,2009-11-23,5.0,9276,97448
28442,49172,2004-09-11,5.0,7319,51026
52607,56453,2005-02-09,5.0,3455,77442
39835,424007,2010-08-01,4.0,384,159061
225903,135496,2006-05-06,5.0,1783,170253
683179,777,2008-03-03,4.0,14283,120866
2000359632,43806,2017-09-15,4.0,23320,57069
271911,67781,2007-11-22,5.0,6889,13906
382071,258307,2007-12-24,5.0,485,24800
2001453193,356814,2017-09-03,0.0,4083,6659
37449,229407,2010-10-17,5.0,275,112222
206442,258508,2009-08-28,5.0,5661,115836
247006,79644,2005-09-28,5.0,24427,147581
983723,145998,2011-09-21,4.0,6980,155542
6357,107030,2005-10-13,5.0,220,22645
219942,170304,2013-07-25,5.0,3600,173989
185446,316669,2009-11-10,4.0,1390,38382
426903,16705,2008-05-12,5.0,4010,40699
307454,99743,2007-05-22,5.0,20611,154381
27395,15647,2003-03-30,5.0,1719,113966
428885,61726,2008-06-30,5.0,242,156947
346514,66596,2018-06-17,5.0,6986,163625
125773,86886,2004-08-11,5.0,996,105299
226863,55573,2011-05-20,5.0,267,49984
1116375,78881,2011-03-18,5.0,6546,121557
911292,28558,2008-08-18,4.0,7068,3970
201581,63002,2007-10-19,5.0,1140,51059
169430,502328,2013-07-02,5.0,241,19580
33159,35218,2010-03-31,4.0,744,21460
35140,41765,2002-11-02,5.0,2741,114348
721674,57130,2008-04-06,4.0,9831,45573
285039,273916,2009-12-25,5.0,481,172474
289510,40104,2008-01-31,5.0,11938,142346
91392,6582,2011-09-19,5.0,1483,53747
439797,26485,2010-11-02,5.0,710,23850
58104,86182,2004-07-15,5.0,319,140769
66008,52896,2004-05-22,5.0,992,168463
1660877,130739,2010-08-16,5.0,21408,113529
91392,113682,2005-05-16,4.0,1483,106925
588901,109700,2012-12-05,5.0,20335,130025
1020526,404344,2014-12-22,5.0,1201,149690
262312,194585,2006-11-09,5.0,107,94730
672443,23104,2008-10-10,4.0,23871,144238
167277,54521,2005-06-23,5.0,6626,174010
724516,317736,2009-03-26,5.0,71,60899
188792,368013,2010-11-06,5.0,14212,13527
128646,44232,2006-06-26,5.0,6894,13779
2690201,60350,2015-07-01,5.0,23663,65543
316250,162319,2008-07-11,5.0,7080,95315
229524,53914,2007-10-23,5.0,279,97738
199848,129408,2006-05-09,5.0,564,113406
569083,205741,2007-11-07,5.0,10920,152577
632249,283313,2012-10-20,4.0,775,3477
206747,283861,2008-02-26,5.0,1159,63046
38182,45907,2005-08-06,5.0,7842,140756
599450,373402,2010-04-29,5.0,340,125527
1108700,74438,2009-09-02,5.0,8680,18248
58104,163853,2006-04-19,5.0,319,43534
173314,21936,2006-09-04,5.0,663,605
1145388,59635,2009-04-20,5.0,9864,150138
6258,12790,2002-03-27,4.0,20,132172
498271,364880,2009-06-08,5.0,245,153175
328542,13546,2006-06-27,4.0,1985,39192
47892,178211,2013-09-14,5.0,305,80039
7108,33919,2002-07-25,5.0,1369,89113
57042,88791,2012-01-22,4.0,1569,175817
666723,74748,2009-03-26,4.0,6013,48808
383143,46922,2007-04-09,5.0,4432,45833
2039373,245872,2012-02-16,5.0,8161,76299
37449,33618,2004-04-11,5.0,275,150662
